,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,c,injector_P,injector_D,stage_x,stage_y
0,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,3.19983
1,1,True,False,0,1,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,3.4814597959183673
2,1,True,False,0,2,FlagBegin;0x221102296b2f4918da4600499d820cc7;FlagEnd,False,True,0x221102296b2f4918da4600499d820cc7,400,2e-07,14.999979999999999,3.7630895918367346
3,1,True,False,0,3,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,4.0447193877551015
4,1,True,False,0,4,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,4.32634918367347
5,1,True,False,0,5,FlagBegin;0xfbff9427690a137caf92c3738cf60518;FlagEnd,False,True,0xfbff9427690a137caf92c3738cf60518,400,2e-07,14.999979999999999,4.607978979591836
6,1,True,False,0,6,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,4.8896087755102045
7,1,True,False,0,7,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,5.171238571428571
8,1,True,False,0,8,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,5.452868367346939
9,1,True,False,0,9,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,5.734498163265306
10,1,True,False,0,10,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,6.016127959183674
11,1,True,False,0,11,,True,False,,400,2e-07,14.999979999999999,6.29775775510204
12,1,True,False,0,12,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,6.5793875510204085
13,1,True,False,0,13,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,14.999979999999999,6.861017346938775
