,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,injector_P,injector_D,stage_x,stage_y
0,1,True,False,0,0,FlagBegin;-131071,True,True,-131071,,,,,,,,,,400,0,13.69999,9.67699
1,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-,False,True,-131071,-196606,-327676,-589816,-,,,,,,410,0,13.69999,9.67699
2,1,True,False,0,0,FlagBegin;-131071;-196606;-32767,False,True,-131071,-196606,-32767,,,,,,,,420,0,13.69999,9.67699
3,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,430,0,13.69999,9.67699
4,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,440,0,13.69999,9.67699
5,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,450,0,13.69999,9.67699
6,1,True,False,0,0,,True,False,,,,,,,,,,,460,0,13.69999,9.67699
7,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,470,0,13.69999,9.67699
8,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,480,0,13.69999,9.67699
9,1,True,False,0,0,FlagBegin;-131071;-196606;-327676;-589816;-1114096;-2162656;-4259776;-8454016;-16842496;-33619456;FlagEnd,False,False,-131071,-196606,-327676,-589816,-1114096,-2162656,-4259776,-8454016,-16842496,-33619456,490,0,13.69999,9.67699
